City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Miguel Calmon,-11.4289,-40.595,298.5,67,100,1.77,BR,1643478428
Busselton,-33.65,115.3333,292.09,83,0,7.17,AU,1643478428
Ponda,15.4,74.0167,295.24,53,2,1.69,IN,1643478428
Nara,34.6851,135.8049,279.75,46,86,1.41,JP,1643478137
Butaritari,3.0707,172.7902,300.74,78,79,8.31,KI,1643478428
Kapaa,22.0752,-159.319,295.33,88,100,7.2,US,1643478428
Deputatsky,69.3,139.9,245.68,90,99,1.13,RU,1643478253
Punta Arenas,-53.15,-70.9167,287.16,50,75,8.75,CL,1643478428
New Norfolk,-42.7826,147.0587,288.87,98,30,0.5,AU,1643478429
Ushuaia,-54.8,-68.3,286.96,67,75,3.6,AR,1643478325
Atuona,-9.8,-139.0333,298.23,80,9,5.87,PF,1643478429
Salina Cruz,16.1667,-95.2,299.19,50,6,14.82,MX,1643478429
Tuatapere,-46.1333,167.6833,286.17,95,100,2.2,NZ,1643478429
Touros,-5.1989,-35.4608,303.65,63,86,3.86,BR,1643478429
Klaksvík,62.2266,-6.589,275.66,64,69,17.73,FO,1643478429
Rikitea,-23.1203,-134.9692,298.06,75,99,4.12,PF,1643478430
Werda,-25.2667,23.2833,296.64,67,72,6.68,BW,1643478430
Bandarbeyla,9.4942,50.8122,297.88,72,65,9.74,SO,1643478430
Hermanus,-34.4187,19.2345,299.21,67,0,7.74,ZA,1643478430
Atyrau,47.1167,51.8833,268.16,93,75,6.0,KZ,1643478430
Khani,41.9563,42.9566,269.91,85,83,2.54,GE,1643478430
Emerald,-23.5333,148.1667,296.23,73,40,2.57,AU,1643478430
Tigre,-34.426,-58.5796,302.17,49,20,3.09,AR,1643478418
Leningradskiy,69.3833,178.4167,252.49,84,75,0.61,RU,1643478241
Albany,42.6001,-73.9662,263.6,68,100,2.24,US,1643478431
Muisne,0.6,-80.0333,301.21,81,100,1.86,EC,1643478431
Saskylakh,71.9167,114.0833,243.68,98,94,1.48,RU,1643478431
Kruisfontein,-34.0033,24.7314,294.2,75,0,4.46,ZA,1643478431
Avarua,-21.2078,-159.775,297.18,94,50,1.54,CK,1643478431
Doha,25.2867,51.5333,290.14,63,0,3.09,QA,1643478142
Axochiapan,18.5,-98.7667,298.81,32,6,2.69,MX,1643478432
Port Hardy,50.6996,-127.4199,280.79,81,100,8.75,CA,1643478283
Bluff,-46.6,168.3333,287.33,88,100,3.36,NZ,1643478432
São João da Barra,-21.6403,-41.0511,305.2,81,96,6.81,BR,1643478432
Nikolskoye,59.7035,30.7861,270.3,88,100,5.28,RU,1643478432
Leh,34.1667,77.5833,255.93,94,82,0.82,IN,1643478433
Mataura,-46.1927,168.8643,285.18,94,99,0.73,NZ,1643478433
Velikooktyabr'skiy,57.4333,33.8159,265.93,93,100,2.66,RU,1643478433
Lebu,-37.6167,-73.65,292.05,68,2,5.19,CL,1643478433
Cape Town,-33.9258,18.4232,295.38,68,20,2.68,ZA,1643478321
Varberg,57.1056,12.2508,280.96,93,100,20.29,SE,1643478433
Castro,-24.7911,-50.0119,288.57,98,100,2.65,BR,1643478433
Yellowknife,62.456,-114.3525,251.16,87,100,2.06,CA,1643478434
Cidreira,-30.1811,-50.2056,296.82,57,58,5.65,BR,1643478434
Kyra,49.5776,111.9753,250.72,96,5,2.11,RU,1643478434
Mahébourg,-20.4081,57.7,300.31,83,40,5.14,MU,1643478391
Romny,50.751,33.4747,270.05,95,99,4.98,UA,1643478434
Khatanga,71.9667,102.5,252.75,99,100,2.06,RU,1643478434
Vaini,-21.2,-175.2,300.78,78,98,6.61,TO,1643478434
Pudem,58.3044,52.1675,257.9,100,98,1.88,RU,1643478435
Port Alfred,-33.5906,26.891,294.71,74,26,6.27,ZA,1643478435
Saldanha,-33.0117,17.9442,299.18,82,1,10.22,ZA,1643478435
Hithadhoo,-0.6,73.0833,300.47,69,100,2.14,MV,1643478435
Mount Isa,-20.7333,139.5,297.02,100,75,3.09,AU,1643478435
Porto-Novo,6.4965,2.6036,304.05,62,88,2.62,BJ,1643478435
Darfo,45.8779,10.1812,282.05,48,14,0.45,IT,1643478435
Aklavik,68.2191,-135.0107,244.61,75,40,0.0,CA,1643478435
Ponta do Sol,32.6667,-17.1,292.99,64,50,3.4,PT,1643478436
